"# cpe-extra.csv — component identity that Buildroot's own metadata does not give us."
"# Read by scripts/compliance/cve-check.py. Three kinds of row:"
"#   1. CPE declared      — a cpe:2.3 string for a component Buildroot has no CPE_ID for,"
"#                          so it gets checked instead of counted as an unchecked gap."
"#   2. CPE=NONE          — the component genuinely has no NVD presence. NOTES must say"
"#                          why, and how its vulnerabilities are found instead."
"#   3. component added    — a COMPONENT name that is not in the Buildroot package list is"
"#                          ADDED to the inventory. That is how the kernel, U-Boot and the"
"#                          Rockchip SDK get checked at all: they are in the image but are"
"#                          not Buildroot packages."
"# MODE: gate (default — findings can block a release) or report-only (counted and listed,"
"#       never blocking; for components whose fix is a version rebase, not per-CVE triage)."
"# A wrong CPE is worse than a missing one: it reports a component as clean instead of"
"# reporting it as unchecked. Verify against the NVD CPE dictionary before adding a row"
"# (cve-check.py --suggest-cpe prints candidates)."
"# Coverage-gap closure 2026-08-12: the 19 components the report listed as NOT"
"# CHECKED. Every name below was resolved against the NVD CPE dictionary on"
"# 2026-08-12 (keyword search incl. upstream aliases: cdialog, v4l-utils, GNU"
"# libiconv, GNU time). Exactly one has an NVD identity — GNU nano. The NONE"
"# rows mean NVD has never issued an advisory under any name for the project;"
"# their vulnerabilities reach us through upstream releases and distro"
"# advisories, which the quarterly review of this file is the checkpoint for."
"LAYER","COMPONENT","VERSION","CPE","MODE","NOTES"
"platform","linux-kernel","5.10.252","cpe:2.3:o:linux:linux_kernel:5.10.252:*:*:*:*:*:*:*","report-only","Rockchip RV1106 vendor kernel (sysdrv/source/kernel), not a Buildroot package. Refreshed 5.10.160 -> 5.10.252 on Rockchip develop-5.10, 2026-08-21 (see media/joral/kernel-currency-plan.md); built and packed, bench pass and reflash still owed before shipment. The refresh took the match count from 5155 to 2867 (measured before/after, 2026-08-21) - 2288 records retired by 92 stable releases. The remaining 2867 are overwhelmingly in subsystems and drivers this SoC configuration does not build. Remediation is the re-base cadence itself, not 2867 individual dispositions - 5.10 stable EOL is Dec 2026, so a further move is already scheduled on a trigger; see the OpenSSL/kernel currency item in media/joral/cra-compliance-plan.md."
"platform","nano","7.2","cpe:2.3:a:gnu:nano:7.2:*:*:*:*:*:*:*","gate","Verified in the NVD CPE dictionary (cpe:2.3:a:gnu:nano, 178 versioned entries)."
"platform","rockchip-media-sdk","RV1106 vendor SDK (media/)","NONE","gate","Closed-source Rockchip media/ISP/NPU libraries shipped as binaries (librkaiq, rockit, librknnmrt). No NVD CPE exists for them, so nothing can be queried; vulnerabilities in them reach us only through Rockchip release notes or our own testing. Recorded here so the gap is on the record rather than absent from the inventory."
"platform","skeleton-init-common","","NONE","gate","Buildroot-internal rootfs skeleton (directory layout and stock config files); not an upstream codebase."
"platform","skeleton-init-sysv","","NONE","gate","Buildroot-internal rootfs skeleton for sysv init; same as skeleton-init-common."
"platform","swupdate","2022.12","cpe:2.3:a:swupdate:swupdate","gate","The in-product update mechanism itself (Annex I #7), added to the image 2026-08-14. Buildroot declares no CPE_ID for it. Verified against the NVD CPE dictionary 2026-08-15: cpe:2.3:a:swupdate:swupdate is the sbabic/swupdate project (dictionary titles 'SWUpdate 2024.12', 'SWUpdate 2026.05'), not a namesake."
"platform","time","1.9","NONE","gate","GNU time has no NVD CPE dictionary entry (keyword matches are unrelated products). Local measurement tool."
"platform","toolchain-external-custom","","NONE","gate","Buildroot-internal wrapper for the external cross-toolchain; ships runtime libs whose upstream (uclibc-ng, gcc libs) has no per-image NVD identity. Toolchain currency is tracked with the vendor-base items."
"platform","u-boot","2017.09","cpe:2.3:a:denx:u-boot:2017.09:*:*:*:*:*:*:*","report-only","Rockchip vendor U-Boot (sysdrv/source/uboot), not a Buildroot package. Same remediation model as the kernel — the vendor fork cannot be bumped independently of the SoC support. Reachability matters here: U-Boot is not network-facing in this product (no netboot, no USB mass-storage boot path enabled), so its findings are not release-blocking on their own."
"platform","urandom-scripts","","NONE","gate","Buildroot-internal seed-preservation script; not an upstream codebase."
"satisense-edge","EIPScanner","1.1.0 (commit 72b7d32)","NONE","gate","Vendored third-party library (media/joral/eipscanner submodule), statically linked into the daemon. No NVD CPE dictionary entry exists for it, so it cannot be queried; monitored by watching the upstream repository. It parses EtherNet/IP from the network, so it is the highest-value target in this list for our own fuzzing under Annex I Part II periodic testing."
"satisense-edge","intelligence_edge_opcua","","NONE","gate","First-party daemon — no NVD presence by definition. Vulnerabilities are found by our own testing (make test, hardware bench TC-S* cases) and by reports to security@joralllc.com per SECURITY.md."
"satisense-edge","librknnmrt (RKNN NPU runtime)","Rockchip media SDK vendor blob","NONE","gate","Rockchip closed-source NPU runtime — no CPE. Optional at build time (-DHAVE_RKNN); the float reference path runs without it."
"satisense-edge","rknn_api.h","Rockchip media SDK vendor blob","NONE","gate","Vendored vendor header, no code shipped from it beyond what the daemon compiles against. No CPE."
"satisense-edge","satisense web console","","NONE","gate","First-party React SPA + CGI shell scripts. Same as above. Note that its npm build-time dependency tree is NOT covered by this gate and is not shipped in the image (only the built bundle is)."
